time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1621786432442.54,,,,3.099,-5.247,-7.983
1621786432461.188,,,,2.942,-5.354,-7.963
1621786432478.215,0.405,1.199,1.141,2.7039539541473467,-5.495031053580629,-7.786935754765585
1621786432480.143,0.40793205445544556,1.2025836221122113,1.1462125412541255,2.677,-5.511,-7.767
1621786432484.133,0.414,1.21,1.157,2.5572528490841098,-5.49877667490651,-7.728465449705268
1621786432490.08,0.414,1.218,1.169,2.3787714901438806,-5.4805579894783545,-7.671030271914813
1621786432496.056,0.412,1.227,1.176,2.1994255308360273,-5.462251048995373,-7.613316866324396
1621786432499.402,0.4136716672764971,1.227,1.1810150018294914,2.099,-5.452,-7.581
1621786432502.061,0.415,1.227,1.185,2.036354939734984,-5.424142652159809,-7.578282209966811
1621786432508.096,0.417,1.225,1.196,1.8941711875826617,-5.360915604022659,-7.5721137174656254
1621786432514.159,0.412,1.222,1.201,1.7513259551318843,-5.297394405210491,-7.565916527337609
1621786432518.969,0.40331757541765156,1.205424462160971,1.203367933977004,1.638,-5.247,-7.561
1621786432520.253,0.401,1.201,1.204,1.630099319784668,-5.2383677753202855,-7.550977840837959
1621786432525.176,0.386,1.194,1.208,1.5998051162208404,-5.205268552907955,-7.512549082613473
1621786432530.785,0.372,1.178,1.21,1.5652909068146725,-5.167558583371586,-7.468767168829724
1621786432536.401,0.353,1.175,1.211,1.5307331302424572,-5.1298010126723135,-7.424929989289043
1621786432536.52,0.35272450929303456,1.174872850442939,1.2112331075212786,1.53,-5.129,-7.424
1621786432542.023,0.34,1.169,1.222,1.5805137013875843,-5.117203387101103,-7.435796612898897
1621786432547.652,0.33,1.168,1.227,1.6321860355887168,-5.105136195281677,-7.447863804718323
1621786432553.287,0.321,1.162,1.236,1.683912155452374,-5.093056442738667,-7.459943557261333
1621786432554.713,0.31872516771261633,1.1617472408569574,1.2349889634278295,1.697,-5.09,-7.463
1621786432558.928,0.312,1.161,1.232,1.7013863742729158,-5.04244246840944,-7.467386374272916
1621786432564.575,0.305,1.155,1.237,1.7072628200842415,-4.978729424349803,-7.4732628200842415
1621786432570.229,0.3,1.147,1.236,1.7131466336832253,-4.914936497960821,-7.479146633683225
1621786432572.971,0.29660885131346243,1.14506220075055,1.2326088513134625,1.716,-4.884,-7.482
1621786432575.889,0.293,1.143,1.229,1.7066046499233896,-4.858998814202918,-7.455565625208181
1621786432581.555,0.284,1.138,1.223,1.6883610685497301,-4.810452334954367,-7.404236226767037
1621786432587.228,0.272,1.134,1.225,1.6700946905602558,-4.761845193524749,-7.352842688694957
1621786432591.295,0.25982571686513906,1.1289870598856455,1.2235677313958988,1.657,-4.727,-7.316
1621786432592.907,0.255,1.127,1.223,1.6475328306295303,-4.725246820486951,-7.285056381594669
1621786432598.592,0.232,1.133,1.216,1.6141461115683828,-4.719064094734886,-7.1759312720707324
1621786432604.285,0.209,1.134,1.213,1.5807135119347901,-4.712872872580516,-7.066656201046119
